제품군,모델명,이미지키,타입1명,타입1_공장도,타입1_소비자,타입2명,타입2_공장도,타입2_소비자,타입3명,타입3_공장도,타입3_소비자,선택사양1,선택사양1금액,선택사양2,선택사양2금액,선택사양3,선택사양3금액,선택사양4,선택사양4금액,선택사양5,선택사양5금액,선택사양6,선택사양6금액,선택사양7,선택사양7금액,선택사양8,선택사양8금액,선택사양9,선택사양9금액,선택사양10,선택사양10금액,비고1,비고2,비고3,비고4,비고5,비고6,비고7,비고8,비고9,비고10
나인도어,N264,N264,A형(~1150),1500000,2000000,B형(1150~1400),1700000,2200000,C형(1400~1700),1900000,2400000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N292,N292,A형(~1150),1650000,2150000,B형(1150~1400),1900000,2400000,C형(1400~1700),2150000,2650000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N297,N297,A형(~1150),1300000,1800000,B형(1150~1400),1500000,2000000,C형(1400~1700),1700000,2200000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N314,N314,A형(~1150),1400000,1900000,B형(1150~1400),1600000,2100000,C형(1400~1700),1800000,2300000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N316,N316,A형(~1150),1400000,1900000,B형(1150~1400),1600000,2100000,C형(1400~1700),1800000,2300000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N318,N318,A형(~1150),1400000,1900000,B형(1150~1400),1600000,2100000,C형(1400~1700),1800000,2300000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N319,N319,A형(~1150),1400000,1900000,B형(1150~1400),1600000,2100000,C형(1400~1700),1800000,2300000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N320,N320,A형(~1150),1200000,1700000,B형(1150~1400),1400000,1900000,C형(1400~1700),1600000,2100000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N321,N321,A형(~1150),1300000,1800000,B형(1150~1400),1500000,2000000,C형(1400~1700),1700000,2200000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N322,N322,A형(~1150),1300000,1800000,B형(1150~1400),1500000,2000000,C형(1400~1700),1700000,2200000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
나인도어,N323,N323,A형(~1150),1200000,1700000,B형(1150~1400),1400000,1900000,C형(1400~1700),1600000,2100000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,,,,,,,,,문 45T / 프레임 130T,복합판넬,푸시풀 번호키,매립형 도어클로저,매립형 힌지,,,,,
