제품군,모델명,이미지키,타입1명,타입1_공장도,타입1_소비자,선택사양1,선택사양1금액,선택사양2,선택사양2금액,선택사양3,선택사양3금액,선택사양4,선택사양4금액,선택사양5,선택사양5금액,선택사양6,선택사양6금액,선택사양7,선택사양7금액,선택사양8,선택사양8금액,선택사양9,선택사양9금액,선택사양10,선택사양10금액,비고1,비고2,비고3,비고4,비고5,비고6,비고7,비고8,비고9,비고10
대문,7014(대),7014대,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*2100(힌지 시공높이 1890),쪽문 가능,,,,
대문,7014(소),7014소,기본,750000,950000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1380(힌지 시공높이 1220),쪽문 불가,,,,
대문,7021,7021,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1300(힌지 시공높이 1250),쪽문 불가,,,,
대문,7024(대),7024대,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1800(힌지 시공높이 1500),쪽문 가능,,,,
대문,7024(소),7024소,기본,800000,1000000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1500(힌지 시공높이 1190),쪽문 가능,,,,
대문,7026(대),7026대,기본,900000,1100000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1750(힌지 시공높이 1660),쪽문 불가,,,,
대문,7026(소),7026소,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1550(힌지 시공높이 1450),쪽문 불가,,,,
대문,7034(대),7034대,기본,900000,1100000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*2125(힌지 시공높이 2000),쪽문 가능,,,,
대문,7034(중),7034중,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1780(힌지 시공높이 1650),쪽문 가능,,,,
대문,7034(소),7034소,기본,800000,1000000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1500(힌지 시공높이 1350),쪽문 가능,,,,
대문,7043,7043,기본,950000,1150000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*2130(힌지 시공높이 1815),쪽문 가능,,,,
대문,7064(대),7064대,기본,950000,1150000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*2080(힌지 시공높이 1710),일자형 790*1270(힌지 시공높이 1310),쪽문 가능,,,
대문,7064(중),7064중,기본,900000,1100000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1800(힌지 시공높이 1610),일자형 790*1270(힌지 시공높이 1310),쪽문 가능,,,
대문,7064)소),7064소,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1500*1500(힌지 시공높이 1310),일자형 790*1270(힌지 시공높이 1310),쪽문 불가,,,
대문,7065(대),7065대,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*2050(힌지 시공높이 1800),일자형 1000*1750(힌지 시공높이 1810),쪽문 가능,,,
대문,7065(중),7065중,기본,800000,1000000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1800(힌지 시공높이 1550),일자형 1000*1750(힌지 시공높이 1810),쪽문 가능,,,
대문,7065(소),7065소,기본,750000,950000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1470(힌지 시공높이 1220),일자형 1000*1750(힌지 시공높이 1810),,,,
대문,7067,7067,기본,800000,1000000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*1800(힌지 시공높이 1650),일자형 1000*1630(힌지 시공높이 1650),쪽문 가능,,,
대문,7068(대),7068대,기본,850000,1050000,너비 키움 / 줄임 가공비,50000,너비 100mm당,100000,쪽문,100000,,,,,,,,,,,,,,,규격치수,부속포함,색상변경가능,너비조절 가능,1200*2090(힌지 시공높이 1820),일자형 1000*1795(힌지 시공높이 1795),쪽문 가능,,,
