제품군,모델명,이미지키,타입1명,타입1_공장도,타입1_소비자,타입2명,타입2_공장도,타입2_소비자,타입3명,타입3_공장도,타입3_소비자,선택사양1,선택사양1금액,선택사양2,선택사양2금액,선택사양3,선택사양3금액,선택사양4,선택사양4금액,선택사양5,선택사양5금액,선택사양6,선택사양6금액,선택사양7,선택사양7금액,선택사양8,선택사양8금액,선택사양9,선택사양9금액,선택사양10,선택사양10금액,비고1,비고2,비고3,비고4,비고5,비고6,비고7,비고8,비고9,비고10
로이도어,L103,L103,A형(~1150),2600000,3200000,B형(1150~1400),2900000,3500000,C형(1400~1700),3200000,3800000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L106,L106,A형(~1150),2400000,3000000,B형(1150~1400),2700000,3300000,C형(1400~1700),3000000,3600000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L111,L111,A형(~1150),2400000,3000000,B형(1150~1400),2700000,3300000,C형(1400~1700),3000000,3600000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L113,L113,A형(~1150),2600000,3200000,B형(1150~1400),2900000,3500000,C형(1400~1700),3200000,3800000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L115,L115,A형(~1150),2400000,3000000,B형(1150~1400),2700000,3300000,C형(1400~1700),3000000,3600000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L117,L117,A형(~1150),2200000,2800000,B형(1150~1400),2500000,3100000,C형(1400~1700),2800000,3400000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L118,L118,A형(~1150),2400000,3000000,B형(1150~1400),2700000,3300000,C형(1400~1700),3000000,3600000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L120,L120,A형(~1150),2400000,3000000,B형(1150~1400),2700000,3300000,C형(1400~1700),3000000,3600000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L121,L121,A형(~1150),2600000,3200000,B형(1150~1400),2900000,3500000,C형(1400~1700),3200000,3800000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L122,L122,A형(~1150),2800000,3400000,B형(1150~1400),3100000,3700000,C형(1400~1700),3400000,4000000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
로이도어,L123,L123,A형(~1150),2600000,3200000,B형(1150~1400),2900000,3500000,C형(1400~1700),3200000,3800000,특수제작 2700이하,1000000,특수제작 2701~3000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락 지문키,50000,번호키 리모컨,50000,비디오폰 연동기,50000,매립형 방충망,300000,소대개폐,200000,문 80T / 프레임 150T,유렵형 단열도어,푸시풀 번호키 기본,프리미엄 매립형 도어클로저,열관류율 0.67 / 기밀 1등급,,,,,
