제품군,모델명,이미지키,타입1명,타입1_공장도,타입1_소비자,타입2명,타입2_공장도,타입2_소비자,타입3명,타입3_공장도,타입3_소비자,선택사양1,선택사양1금액,선택사양2,선택사양2금액,선택사양3,선택사양3금액,선택사양4,선택사양4금액,선택사양5,선택사양5금액,선택사양6,선택사양6금액,선택사양7,선택사양7금액,선택사양8,선택사양8금액,선택사양9,선택사양9금액,선택사양10,선택사양10금액,비고1,비고2,비고3,비고4,비고5,비고6,비고7,비고8,비고9,비고10
리젠도어,R701,R701,A형(~1150),1750000,2350000,B형(1150~1400),2000000,2600000,C형(1400~1700),2250000,2850000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R702,R702,A형(~1150),1950000,2550000,B형(1150~1400),2200000,2800000,C형(1400~1700),2450000,3050000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R712,R712,A형(~1150),1950000,2550000,B형(1150~1400),2200000,2800000,C형(1400~1700),2450000,3050000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R721,R721,A형(~1150),2050000,2650000,B형(1150~1400),2300000,2900000,C형(1400~1700),2550000,3150000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R722,R722,A형(~1150),2050000,2650000,B형(1150~1400),2300000,2900000,C형(1400~1700),2550000,3150000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R723,R723,A형(~1150),2050000,2650000,B형(1150~1400),2300000,2900000,C형(1400~1700),2550000,3150000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R725,R725,A형(~1150),1850000,2450000,B형(1150~1400),2100000,2700000,C형(1400~1700),2350000,2950000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R726,R726,A형(~1150),1950000,2550000,B형(1150~1400),2200000,2800000,C형(1400~1700),2450000,3050000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R727,R727,A형(~1150),1850000,2450000,B형(1150~1400),2100000,2700000,C형(1400~1700),2350000,2950000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R728,R728,A형(~1150),1950000,2550000,B형(1150~1400),2200000,2800000,C형(1400~1700),2450000,3050000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R729,R729,A형(~1150),1850000,2450000,B형(1150~1400),2100000,2700000,C형(1400~1700),2350000,2950000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R730,R730,A형(~1150),1750000,2350000,B형(1150~1400),2000000,2600000,C형(1400~1700),2250000,2850000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R731,R731,A형(~1150),2050000,2650000,B형(1150~1400),2300000,2900000,C형(1400~1700),2550000,3150000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
리젠도어,R732,R732,A형(~1150),1950000,2550000,B형(1150~1400),2200000,2800000,C형(1400~1700),2450000,3050000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,오토락지문키,500000,번호키 리모컨,500000,비디오폰 연동기,50000,소대개폐,200000,"노르딕월넛, 그라파이트 블랙",100000,,,,,문 70T / 프레임 130T,유렵형 단열도어,복합판넬,매립형 도어클로저,푸시풀 번호키,열관류율 0.91 / 기밀 1등급,,,,
