지역명,대분류,예상소요시간,지역등급,지역금액
서울특별시,서울특별시,2시간30분,3,200000
부산광역시,부산광역시,3시간30분,4,400000
대구광역시,대구광역시,2시간30분,3,200000
인천광역시,인천광역시,2시간30분,3,200000
강화군,인천광역시,3시간30분,4,400000
광주광역시,광주광역시,2시간30분,3,200000
대전광역시,대전광역시,1시간,1,50000
울산광역시,울산광역시,3시간,3,200000
세종특별자치시,세종특별자치시,30분,1,50000
남양주,경기도,2시간,2,100000
연천,경기도,3시간,3,200000
포천,경기도,2시간30분,3,200000
동두천,경기도,2시간30분,3,200000
파주,경기도,2시간30분,3,200000
김포,경기도,2시간30분,3,200000
양주,경기도,2시간30분,3,200000
의정부,경기도,2시간30분,3,200000
고양,경기도,2시간30분,3,200000
가평,경기도,2시간30분,3,200000
양평,경기도,2시간,2,100000
여주,경기도,1시간30분,2,100000
이천,경기도,1시간30분,2,100000
안성,경기도,1시간,1,50000
광주,경기도,1시간30분,2,100000
하남,경기도,1시간30분,2,100000
구리,경기도,1시간30분,2,100000
용인,경기도,1시간30분,2,100000
성남,경기도,1시간30분,2,100000
수원,경기도,1시간30분,2,100000
오산,경기도,1시간30분,2,100000
평택,경기도,1시간,1,50000
화성,경기도,1시간30분,2,100000
군포,경기도,1시간30분,2,100000
과천,경기도,1시간30분,2,100000
의왕,경기도,1시간30분,2,100000
광명,경기도,2시간,2,100000
안양,경기도,1시간30분,2,100000
부천,경기도,2시간,2,100000
시흥,경기도,2시간,2,100000
안산,경기도,1시간30분,2,100000
철원,강원도,3시간,3,200000
화천,강원도,3시간,3,200000
양구,강원도,3시간,3,200000
고성,강원도,4시간,4,400000
속초,강원도,3시간30분,4,400000
춘천,강원도,2시간30분,3,200000
인제,강원도,3시간,3,200000
양양,강원도,3시간,3,200000
홍천,강원도,2시간30분,3,200000
횡성,강원도,2시간,2,100000
평창,강원도,2시간30분,3,200000
원주,강원도,2시간,2,100000
강릉,강원도,3시간,3,200000
정선,강원도,3시간,3,200000
영월,강원도,2시간,2,100000
동해,강원도,3시간30분,4,400000
삼척,강원도,3시간30분,4,400000
태백,강원도,3시간,3,200000
청주,충청북도,30분,1,50000
진천,충청북도,1시간,1,50000
음성,충청북도,1시간,1,50000
증평,충청북도,1시간,1,50000
괴산,충청북도,1시간,1,50000
충주,충청북도,1시간,1,50000
제천,충청북도,1시간30분,2,100000
단양,충청북도,2시간,2,100000
보은,충청북도,1시간,1,50000
옥천,충청북도,1시간,1,50000
영동,충청북도,1시간30분,2,100000
태안,충청남도,2시간30분,3,200000
당진,충청남도,1시간30분,2,100000
계룡,충청남도,1시간,1,50000
서산,충청남도,2시간,2,100000
홍성,충청남도,1시간30분,2,100000
예산,충청남도,1시간30분,2,100000
아산,충청남도,1시간,1,50000
천안,충청남도,1시간,1,50000
공주,충청남도,1시간,1,50000
청양,충청남도,1시간30분,2,100000
보령,충청남도,2시간,2,100000
부여,충청남도,1시간30분,2,100000
서천,충청남도,1시간30분,2,100000
논산,충청남도,1시간30분,2,100000
금산,충청남도,1시간,1,50000
군산,전라북도,2시간,2,100000
익산,전라북도,1시간30분,2,100000
완주,전라북도,1시간30분,2,100000
진안,전라북도,1시간30분,2,100000
무주,전라북도,1시간30분,2,100000
김제,전라북도,2시간,2,100000
전주,전라북도,1시간30분,2,100000
부안,전라북도,2시간,2,100000
정읍,전라북도,2시간,2,100000
임실,전라북도,2시간,2,100000
장수,전라북도,2시간,2,100000
고창,전라북도,2시간30분,3,200000
순창,전라북도,2시간,2,100000
남원,전라북도,2시간,2,100000
영광,전라남도,2시간30분,3,200000
장성,전라남도,2시간30분,3,200000
담양,전라남도,2시간30분,3,200000
곡성,전라남도,2시간30분,3,200000
구례,전라남도,2시간30분,3,200000
함평,전라남도,3시간,3,200000
신안,전라남도,3시간30분,4,400000
목포,전라남도,3시간,3,200000
무안,전라남도,3시간,3,200000
나주,전라남도,2시간30분,3,200000
화순,전라남도,3시간,3,200000
순천,전라남도,2시간30분,3,200000
광양,전라남도,3시간,3,200000
여수,전라남도,3시간,3,200000
진도,전라남도,4시간,4,400000
해남,전라남도,3시간30분,4,400000
완도,전라남도,4시간,4,400000
강진,전라남도,3시간30분,4,400000
장흥,전라남도,3시간30분,4,400000
보성,전라남도,3시간30분,4,400000
고흥,전라남도,3시간30분,4,400000
영암,전라남도,3시간,3,200000
문경,경상북도,1시간30분,2,100000
예천,경상북도,2시간,2,100000
영주,경상북도,2시간,2,100000
봉화,경상북도,2시간30분,3,200000
울진,경상북도,3시간30분,4,400000
안동,경상북도,2시간,2,100000
상주,경상북도,1시간,1,50000
영양,경상북도,2시간30분,3,200000
의성,경상북도,2시간,2,100000
청송,경상북도,2시간,2,100000
영덕,경상북도,2시간30분,3,200000
김천,경상북도,1시간30분,2,100000
성주,경상북도,2시간,2,100000
고령,경상북도,2시간30분,3,200000
구미,경상북도,1시간30분,2,100000
칠곡,경상북도,2시간,2,100000
군위,경상북도,2시간,2,100000
영천,경상북도,2시간,2,100000
포항,경상북도,2시간30분,3,200000
경주,경상북도,2시간30분,3,200000
경산,경상북도,2시간30분,3,200000
청도,경상북도,2시간30분,3,200000
거창,경상남도,2시간,2,100000
함양,경상남도,2시간,2,100000
산청,경상남도,2시간,2,100000
하동,경상남도,3시간,3,200000
남해,경상남도,3시간,3,200000
사천,경상남도,2시간30분,3,200000
합천,경상남도,2시간30분,3,200000
진주,경상남도,2시간30분,3,200000
의령,경상남도,3시간,3,200000
함안,경상남도,3시간,3,200000
고성,경상남도,3시간,3,200000
통영,경상남도,3시간,3,200000
거제,경상남도,3시간30분,4,400000
창녕,경상남도,2시간30분,3,200000
밀양,경상남도,2시간30분,3,200000
창원,경상남도,3시간,3,200000
김해,경상남도,3시간,3,200000
양산,경상남도,3시간,3,200000
